ticket_id,text,label,channel,priority,created_at
T0158,有个问题想反馈，充值时银行卡出现了重复扣款，需要我提供支付凭证吗？,费用问题,web,high,2026-04-22
T0159,关于这个号码，我有以下需求：希望更换为流量少但通话多的组合。需要准备什么材料？,套餐业务,app,medium,2026-02-22
T0160,需要一个只生效一周的流量包，请问应该在哪里办理或查询？,套餐业务,web,medium,2026-03-27
T0161,暂停服务后账单金额没有减少，类似记录已经出现不止一次。,费用问题,phone,medium,2026-05-27
T0162,在 App 里没有找到相关入口，我的需求是：有没有可以多人共享的家庭套餐。,套餐业务,app,medium,2026-06-24
T0163,网络延迟很高，基本没法正常使用，我重新连接网络并重启设备后仍然无效。,网络故障,web,high,2026-07-20
T0164,我在宿舍经常遇到这种情况：手机有信号但收不到普通短信。,信号问题,phone,medium,2026-03-28
T0165,麻烦尽快查一下，客服推荐业务时隐瞒了额外费用。,投诉建议,app,medium,2026-05-04
T0166,在打电话时，商场周末人多时移动数据基本瘫痪。,信号问题,phone,high,2026-05-23
T0167,停机状态下增值业务还在扣钱，请帮我核实系统记录是否正确。,费用问题,web,high,2026-01-26
T0168,最近连续出现这种情况：想核对过去三个月的话费明细。,费用问题,web,low,2026-02-10
T0169,关于“登录后经常要求重复验证身份”的问题，请帮我登记投诉或建议。,投诉建议,phone,medium,2026-05-05
T0170,希望更换为不限量或大流量套餐，我不确定当前号码是否符合办理资格。,套餐业务,web,low,2026-05-28
T0171,宽带每隔几分钟就会断一次，重启路由器后还是没有改善。,网络故障,web,medium,2026-06-24
T0172,承诺的折扣没有按约定生效，希望提供完整明细和处理结果。,费用问题,web,medium,2026-03-06
T0173,最近连续出现这种情况：旅行回来后账单多出多笔境外费用。,费用问题,app,high,2026-02-09
T0174,昨晚在办公室发现这个商场里很多位置都收不到信号。,信号问题,web,high,2026-06-30
T0175,账单显示已支付，宽带仍提示欠费，重启路由器后还是没有改善。,网络故障,web,medium,2026-07-13
T0176,最近反复出现这种情况：线路改造后家里的网络彻底断了。,网络故障,store,high,2026-02-18
T0177,前天晚上在地铁站附近发现手机显示已连接 Wi-Fi 但上不了网。,网络故障,app,medium,2026-01-29
T0178,麻烦帮我看看，普通上网正常，游戏却总是断线，希望彻底解决，不要反复发生。,网络故障,phone,medium,2026-04-13
T0179,关于“工单状态发生变化但系统没有通知”的问题，请帮我登记投诉或建议。,投诉建议,phone,medium,2026-05-29
T0180,请确认以下费用或账务问题的原因：平时消费差不多，这个月却扣得特别多。,费用问题,phone,medium,2026-06-23
T0181,从这两天开始就出现以下情况：办公室内只能收到一格信号。,信号问题,app,medium,2026-05-22
T0182,账单页面层级太深，很难找到明细，目前没有人明确负责处理。,投诉建议,phone,medium,2026-04-04
T0183,账单里每一项费用的含义不清楚，请帮我核对相关账单或支付记录。,费用问题,web,medium,2026-01-07
T0184,刚才我再次反馈以下问题或建议：建议改善新建小区的网络覆盖。,投诉建议,app,medium,2026-06-05
T0185,路由器重启后状态正常，网络仍未恢复，请提供具体原因和排查办法。,网络故障,phone,medium,2026-05-02
T0186,我想确认一下，想取消现在使用的套餐，请给出明确的办理建议或处理结果。,套餐业务,phone,low,2026-01-26
T0187,刚刚发现每天晚上网络都会明显变慢，之前使用一直正常。,网络故障,web,high,2026-02-12
T0188,关于这个号码，我有以下需求：副卡突然不能使用主卡流量。需要准备什么材料？,套餐业务,phone,medium,2026-05-28
T0189,我核对近期消费记录时发现一个月内同项业务重复计费。,费用问题,phone,medium,2026-07-13
T0190,之前联系过客服，但以下问题还没有解决：月结账单出现了异常增长。,费用问题,app,high,2026-05-28
T0191,请确认以下费用或账务问题的原因：银行卡已经扣款但话费余额没更新。,费用问题,web,high,2026-01-30
T0192,今天下午5G 信号频繁在有和没有之间切换，能不能帮我恢复正常。,信号问题,phone,medium,2026-01-18
T0193,上门维修人员态度很不耐烦，相关工单已经提交不止一次。,投诉建议,app,medium,2026-06-26
T0194,希望把当前套餐调整到低价档位，线上和营业厅都可以办理吗？,套餐业务,store,medium,2026-07-23
T0195,最近接电话经常没有声音，请提供具体排查方法或处理进度。,信号问题,web,high,2026-04-05
T0196,我通过客服电话反馈以下问题或建议：套餐到期后自动续约却未提前通知。,投诉建议,app,medium,2026-03-09
T0197,本月应付金额和过去几个月差别很大，我看不出问题具体出在哪个环节。,费用问题,app,high,2026-05-04
T0198,光猫和路由器看起来正常，还是上不了网，我不确定是线路、路由器还是账号的问题。,网络故障,app,high,2026-07-12
T0199,最近总是出现这种情况：进入楼里后手机信号就消失。,信号问题,app,high,2026-02-22
T0200,我在家里遇到这个问题：夜里看视频总是卡住。,网络故障,web,high,2026-04-26
T0201,之前处理后短暂恢复，但现在又出现同样的问题：宽带移机完成后一直认证失败。,网络故障,app,medium,2026-01-10
T0202,这张卡插到卡槽二后经常掉信号，重启手机并开关飞行模式后仍然没有改善。,信号问题,store,high,2026-02-24
T0203,想保留号码但降低每个月的支出，这项操作通常什么时候生效？,套餐业务,app,low,2026-04-04
T0204,从昨天开始查看账户时发现刚查余额发现比昨天少了一笔。,费用问题,web,medium,2026-01-17
T0205,发票金额和实际支付金额不一致，过去几个月的账户记录一直比较正常。,费用问题,phone,low,2026-07-16
T0206,想查询当前套餐什么时候到期，想了解具体资费和生效时间。,套餐业务,web,low,2026-04-12
T0207,在使用相关服务时，我注意到以下问题：宣传内容和工作人员口头承诺不一致。,投诉建议,web,high,2026-04-14
T0208,续费完成几个小时了网络还没开通，同一网络之前一直可以正常使用。,网络故障,phone,medium,2026-07-12
T0209,之前得到过处理承诺，但以下问题仍未解决：希望小区周边增设信号基站。,投诉建议,app,medium,2026-01-11
T0210,想咨询一下，希望小区周边增设信号基站，请告知后续处理时限。,投诉建议,web,low,2026-07-13
T0211,套餐标价是固定金额，实际每月都多扣钱，请帮我核实系统记录是否正确。,费用问题,phone,high,2026-07-17
T0212,主卡流量能不能共享给家人的号码，请告知办理步骤和注意事项。,套餐业务,web,low,2026-02-18
T0213,维修结束后现场没有整理干净，希望尽快安排专人处理。,投诉建议,app,high,2026-02-12
T0214,想增加套餐内的国内流量，请问应该在哪里办理或查询？,套餐业务,store,low,2026-03-24
T0215,这个号码存在以下费用问题：这期账单金额比上个月多了几十元。,费用问题,phone,high,2026-04-29
T0216,主卡信号很好，副卡却一直只有一格，我不确定是手机卡、设备还是基站的问题。,信号问题,phone,high,2026-03-02
T0217,套餐到期后是否会自动续约，是否需要支付额外费用？,套餐业务,web,medium,2026-04-25
T0218,月租费用在同一天重复收取，我看不出问题具体出在哪个环节。,费用问题,phone,high,2026-05-31
T0219,路由器重启后状态正常，网络仍未恢复，已经影响正常使用。,网络故障,app,high,2026-06-18
T0220,最近反复出现这种情况：线路指示灯没有异常，网页却打不开。,网络故障,app,high,2026-04-21
T0221,关于“取消增值服务后系统仍显示生效”的问题，请帮我登记投诉或建议。,投诉建议,store,high,2026-04-18
T0222,使用手机连接网络时出现以下情况：最近家里的网明显比以前慢很多。,网络故障,app,medium,2026-05-21
T0223,账户里的一部分金额突然不见了，麻烦说明原因和处理方式。,费用问题,phone,medium,2026-02-17
T0224,这几天查看账户时发现营业员介绍的优惠没有体现在账单里。,费用问题,app,medium,2026-07-18
T0225,从今天早上开始就出现以下情况：家里其他设备正常，只有平板无法联网。,网络故障,web,medium,2026-02-21
T0226,想临时开通几天的国际数据服务，请问应该在哪里办理或查询？,套餐业务,app,low,2026-01-05
T0227,之前处理后短暂恢复，但现在又出现同样的问题：同一网络下有的设备能用有的不能用。,网络故障,app,low,2026-04-26
T0228,手机显示已连接 Wi-Fi 但上不了网，同一网络之前一直可以正常使用。,网络故障,app,medium,2026-04-02
T0229,我在出差住的酒店遇到这个问题：只有公司系统无法通过当前网络访问。,网络故障,web,medium,2026-04-25
T0230,最近使用需求发生了变化，因此本月应该降档，账单却还是原套餐。,套餐业务,app,medium,2026-01-23
T0231,套餐变更成功后内容仍显示旧版本，请帮我确认当前状态或可选方案。,套餐业务,phone,medium,2026-06-02
T0232,开启 5G 后仍然一直显示 4G，请提供具体排查方法或处理进度。,信号问题,phone,medium,2026-04-27
T0233,在使用相关服务时，我注意到以下问题：客服承诺回电却一直没有联系。,投诉建议,web,high,2026-02-14
T0234,账单里出现了没办理过的增值业务，如果记录有误，请及时更正或退款。,费用问题,phone,medium,2026-03-09
T0235,关于这个号码，我有以下需求：出发前需要办理境外流量套餐。需要准备什么材料？,套餐业务,web,medium,2026-03-18
T0236,验证码短信经常很久才收到，重启手机并开关飞行模式后仍然没有改善。,信号问题,store,high,2026-04-21
T0237,从这几天开始就出现以下情况：线路改造后家里的网络彻底断了。,网络故障,app,high,2026-01-24
T0238,路由器后台显示连接成功但无法联网，我重新连接网络并重启设备后仍然无效。,网络故障,phone,high,2026-03-25
T0239,最近连续出现这种情况：已经办理停机保号却继续产生套餐费。,费用问题,app,high,2026-01-13
T0240,使用备用手机时出现以下信号问题：新手机已经设置完成但移动网络不可用。,信号问题,app,medium,2026-06-16
T0241,有个问题想反馈，景区内几乎无法使用移动数据，是否需要重新设置网络？,信号问题,phone,high,2026-01-31
T0242,最近反复出现这种情况：文件上传速度慢得几乎不动。,网络故障,phone,high,2026-05-05
T0243,需要一个适合经常看视频的套餐，请告知办理步骤和注意事项。,套餐业务,phone,low,2026-03-20
T0244,之前联系过客服，但以下问题还没有解决：账户里的一部分金额突然不见了。,费用问题,store,high,2026-04-09
T0245,刚查话费时发现账单显示购买了我从未使用的业务，之前没有注意到。,费用问题,app,high,2026-01-20
T0246,最近总是出现这种情况：别人发来的短信会延迟几个小时。,信号问题,app,medium,2026-01-14
T0247,最近总是出现这种情况：刚补卡完成就收不到短信和电话。,信号问题,web,medium,2026-03-20
T0248,刚刚发现人多的时候信号会突然变得很差，换到室外后才稍微好一些。,信号问题,app,medium,2026-04-17
T0249,之前短暂恢复过，但现在又出现同样的问题：手机很少能连接到 5G 网络。,信号问题,app,high,2026-03-04
T0250,麻烦帮我看看，没有新增业务但话费突然变高。,费用问题,store,high,2026-07-20
T0251,普通上网正常，游戏却总是断线，视频会议一直进行不下去。,网络故障,phone,medium,2026-07-04
T0252,最近使用需求发生了变化，因此想临时开通几天的国际数据服务。,套餐业务,phone,medium,2026-01-15
T0253,当前套餐内容和使用习惯不匹配，请帮我确认当前状态或可选方案。,套餐业务,web,medium,2026-05-26
T0254,网络延迟很高，基本没法正常使用，请提供具体原因和排查办法。,网络故障,web,high,2026-02-22
T0255,账户里的一部分金额突然不见了，请核实支付记录和系统入账情况。,费用问题,app,medium,2026-03-11
T0256,请帮忙处理一下，地下通道里短信也收不到，希望优化这一带的信号覆盖。,信号问题,store,medium,2026-01-16
T0257,请帮我确认以下网络问题的原因：最近家里的网明显比以前慢很多。,网络故障,store,medium,2026-05-09
